TABLE ID	ID	STUDY	SAMPLE	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	2515000	3146454,08200112	6	2863488	2653423,23606346	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4148953	5944568,67717078	6	1839302	1074071,85833351	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7356896,5	2263665,32717129	6	7629310	3754476,22391373	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	9534482,5	5895668,28869073	6	7443103	7264003,47354914	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6246551,5	2263665,32717129	6	8281034	6702309,75588666	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	66833333	60012498,6981879	6	178888888,5	60760953,7612888	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8498255,5	10081399,2272291	6	5732906,5	2435248,40941864	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6112325,5	2520980,55041605	6	5043139,5	1262854,03280981	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5452558	2435248,40941864	6	5078139,5	1639362,65168327	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	11214035	2829589,31361956	6	11351754	2148781,80874502	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5898596	1665351,7378542	6	8010087,5	1321885,51086601	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4704561	236031,606869716	6	5610877	1622829,82066435	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8068478	1775453,85230256	6	10791304	3647608,66067071	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4647826	1584446,31639494	6	6809782,5	1148543,69498335	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	4604347,5	1414206,77927151	6	6599347,5	2232177,13652781	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7434210,5	2719362,27519431	6	4684561	3313901,20081778	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5051140	1104225,07706717	6	6200175	758309,360336202	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	9704561	996791,681693572	6	3518245,5	4245781,40432759	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	50883898	36352087,3122031	6	36951694,5	26396365,2799518	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	2448395,5	3953894,08285319	6	2517379,5	2616499,62768075	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6144745,5	3147594,31947638	6	5569745,5	1695268,58082768	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5336140	3507223,50453232	6	5276548	1746819,31720942	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	1371754	251072,698635276	6	8055087,5	7099866,84011985	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	366798	0	6	4215263	4353214,79970119	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	441657,5	0	6	3628245,5	5251146,30012091	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	846318	0	6	3324090,5	5827557,7769029	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5479158	0	6	2170909	3974853,14183732	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	385045	0	6	2467272,5	3796709,10131393	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	7846734	2753551,02827921	6	5814075	2040969,96720616	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	5800173	1525833,70108475	6	3508005,5	1034448,91225425	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6158583,5	1412172,47804013	6	5127254	2331736,64712323	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	39305555,5	68286330,0378417	6	53394444	50214539,7270551	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	10613157,5	1504029,56813937	6	11264035	5453766,86689906	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6377894,5	1339913,7553729	6	5652017,5	1892810,13062417	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8722105	1213227,37062102	6	7423070	3181972,90801635	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	13810465	1996276,57735933	6	11663953	6476621,11945585	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8524186	3484825,37032431	6	4851860	1508144,71090725	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8923604,5	1404383,10065808	6	7662209	4002351,1136898	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	12096491	1471304,38517579	6	11219298	5309591,12538371	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	6450614	1955272,11906514	6	8588245,5	3917893,93210351	
table8	96	kwakowsky2018	Brain	Subcortical region	GABA A receptor	6	8055087,5	3101564,73297487	6	7423722	3991378,624387	
