"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table35"	"79"	"howell2000"	"Brain"	"Hippocampus "	"GABA A receptor"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.447733886219	0.0300232816434384	-0.787341306773042	-0.108126465664957	15	15	19.55297888858
"table35"	"53"	"shimohama1988"	"Brain"	"Hippocampus "	"GABA A receptor"	7	1235	275.15	7	793	50.26	"YES"	-2.09165229475582	0.498743232811863	-3.47581326478302	-0.707491324728625	7	7	8.45229731914928
"table35"	"210"	"cross1984"	"Brain"	"Hippocampus "	"GABA A receptor"	17	154	53.6	13	135	39.66	"YES"	-0.384136691913905	0.138556521123507	-1.11369763538236	0.345424251554553	17	13	14.9934032297386
"table36"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	3.98383890345411e-05	0.0138888889550179	-0.230944132885803	0.231023809663872	144	144	32.5044755235113
"table36"	"20"	"jansen1990"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	9	223	63	8	246	76.3675323681471	"YES"	0.313795445482513	0.239822850565004	-0.646032458210094	1.27362334917512	9	8	21.6000309536636
"table36"	"212"	"rissman2004"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	6	0.12	0.073484692283495	6	0.07	0.019595917942265	"YES"	-1.20591933365598	0.0744822821924426	-1.740821773278	-0.671016894033964	12	12	28.6284174659668
"table36"	"79"	"howell2000"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.332900540663046	0.408822769973749	-1.5860868140543	0.920285732728209	5	5	17.2670760568584
"table37"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor"	6	22370689.5	1545711.31034744	6	21389655	10667949.1420565	"YES"	0.345471141127081	0.0188618184452075	0.0762929495129132	0.614649332741249	144	144	36.5868301358576
"table37"	"212"	"rissman2004"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor"	6	0.12	0.024494897427832	6	0.08	0.024494897427832	"YES"	-1.82547117697252	0.152736597970449	-2.59145508771503	-1.05948726623001	12	12	33.8092821857852
"table37"	"79"	"howell2000"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor"	5	70	4.47213595499958	5	69	4.47213595499958	"YES"	-0.201850601761613	0.403243665431525	-1.44645653757462	1.04275533405139	5	5	29.6038876783572
"table38"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	6	3631609	1983523.30901353	6	15508620.5	3930445.11754553	"YES"	0.509722117202849	0.024714582087462	0.201598685183066	0.817845549222632	144	144	28.4804590450012
"table38"	"20"	"jansen1990"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	9	85	24	8	93	25.4558441227157	"YES"	0.307494386856037	0.239675282637384	-0.65203817048099	1.26702694419306	9	8	24.0171344319665
"table38"	"212"	"rissman2004"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	6	0.13	0.048989794855664	6	0.08	0.024494897427832	"YES"	-1.41930804352057	0.0978236939889795	-2.0323216584973	-0.806294428543828	12	12	26.7873699959624
"table38"	"79"	"howell2000"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	5	97	35.7770876399966	5	62	38.0131556174964	"YES"	-0.855942981498213	0.458326460970545	-2.18283492368975	0.470948960693321	5	5	20.7150365270699
"table39"	"96"	"kwakowsky2018"	"Brain"	"Subiculum"	"GABA A receptor"	6	149719101	43760546.9938431	6	119674157	116584702.52483	"YES"	-0.157374333678019	0.0149208339264139	-0.396785630610171	0.0820369632541325	48	48	52.7087012387059
"table39"	"212"	"rissman2004"	"Brain"	"Subiculum"	"GABA A receptor"	6	0.12	0.073484692283495	6	0.07	0.019595917942265	"YES"	-1.20591933365598	0.0744822821924426	-1.740821773278	-0.671016894033964	12	12	47.2912987612941
"table4"	"107"	"huang2016"	"Brain"	"Cingulate cortex"	"GABA"	15	0.11	0.009	17	0.107	0.023	"N/A"	-0.163488309748309	0.12596315361323	-0.859104775575557	0.532128156078939	15	17	63.7271516677258
