TABLE ID	ID	STUDY	SAMPLE 	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,95	0,227405540829594	8	0,664	0,058265598769772	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	1,22	0,273791745675431	8	0,91	0,096166522241371	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,839	0,168291413922398	8	0,581	0,063639610306789	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,807	0,175079639021789	8	0,572	0,07778174593052	
table3	166	carlson1993	Brain	Whole brain	GABA A receptor	8	0,404	0,038183766184074	8	0,3485	0,011313708498985	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	1300	285,74	7	903	82,01	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	6	1099	142,07	7	911	126,99	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	1235	275,15	7	793	50,26	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	421	148,16	6	375	68,58	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	391	52,91	6	413	93,08	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	512	82,01	6	449	188,61	
table3	53	shimohama1988	Brain	Whole brain	GABA A receptor	7	494	230,1	3	461	83,13	
table3	210	cross1984	Brain	Whole brain	GABA A receptor	17	154	53,6	13	135	39,66	
table3	210	cross1984	Brain	Whole brain	GABA A receptor	13	196	43,26	14	172	67,34	
table3	210	cross1984	Brain	Whole brain	GABA A receptor	14	214	41,15	12	186	41,56	
table3	210	cross1984	Brain	Whole brain	GABA A receptor	7	292	66,14	7	289	50,26	
table3	S11	owen1983	Brain	Whole brain	GABA A receptor	12	204,53	26,74	10	179,98	26,62	
table3	10	griffiths1994	Brain	Whole brain	GABA A receptor	9	80	8	5	76	4	
table3	10	griffiths1994	Brain	Whole brain	GABA A receptor	9	89	5	5	85	6	
table3	10	griffiths1994	Brain	Whole brain	GABA A receptor	9	83	5	5	77	4	
table3	10	griffiths1994	Brain	Whole brain	GABA A receptor	9	86	4	5	86	5	
